Date,Avg_Temp_C,Max_Temp_C,Min_Temp_C,Precipitation_mm,Relative_Humidity_Percent,Wind_Speed_m_s
1981-04-12,23.71,29.38,19.89,7.68,61.44,2.23
1981-04-13,23.62,29.6,19.68,5.95,66.37,2.06
1981-04-14,24.18,31.56,17.81,0.59,58.75,2.36
1981-04-15,24.4,31.14,18.93,0.44,54.19,2.73
1981-04-16,24.58,31.25,18.28,0.1,51.98,3.03
1981-04-17,24.84,31.27,18.52,0.01,49.35,3.04
1981-04-18,24.51,30.83,19.47,0.21,51.37,2.39
1981-04-19,24.18,31.8,17.41,0.38,49.52,3.25
1981-04-20,24.59,31.67,19.41,0.12,50.31,2.93
1981-04-21,24.97,31.02,20.46,0.04,46.78,2.62
1981-04-22,24.75,31.97,19.76,0.09,43.86,2.7
1981-04-23,24.47,31.3,19.48,1.9,50.07,2.2
1981-04-24,23.11,28.87,19.36,1.67,59.21,1.97
1981-04-25,22.54,27.86,18.26,1.52,57.12,1.89
1981-04-26,24.74,31.99,19.02,0.41,46.49,2.11
1981-04-27,25.09,32.18,20.82,0.0,49.11,2.21
1981-04-28,25.81,34.02,20.33,0.0,49.13,2.32
1981-04-29,26.57,34.8,20.77,0.0,48.52,2.22
1981-04-30,26.82,34.15,21.84,0.0,48.1,2.03
1981-05-01,24.92,30.34,20.63,0.0,56.72,1.98
1981-05-02,24.57,31.57,17.97,0.0,58.17,3.5
1981-05-03,24.45,31.46,18.32,0.0,60.89,3.36
1981-05-04,25.35,33.7,18.72,0.0,54.96,3.42
1981-05-05,25.78,33.01,19.38,0.0,44.67,3.07
1981-05-06,25.92,32.21,19.96,0.0,45.66,2.68
1981-05-07,27.24,34.19,22.25,0.0,43.0,2.02
1981-05-08,27.16,34.58,21.58,0.0,44.49,2.47
1981-05-09,25.92,32.76,20.44,0.0,45.3,2.74
1981-05-10,26.72,34.69,20.48,0.0,40.9,2.3
1981-05-11,26.38,33.69,21.67,3.14,49.29,2.29
1981-05-12,25.95,33.26,20.48,5.61,54.69,2.01
1981-05-13,25.55,31.45,20.88,2.71,57.44,2.04
1981-05-14,25.7,32.99,20.56,0.28,47.16,2.96
1981-05-15,26.55,34.4,19.25,0.09,36.76,2.38
1981-05-16,28.03,35.93,22.08,2.92,44.47,1.74
1981-05-17,28.25,35.64,22.3,1.21,45.2,1.98
1981-05-18,27.18,33.42,22.31,1.01,46.49,2.0
1981-05-19,27.44,34.03,22.64,0.72,42.13,2.19
1981-05-20,28.08,36.61,20.45,0.28,31.62,2.32
1981-05-21,27.08,34.57,21.04,2.45,37.36,2.29
1981-05-22,25.81,31.62,21.66,8.68,53.41,1.94
1981-05-23,25.81,32.77,21.2,4.46,60.43,1.9
1981-05-24,27.15,34.24,21.58,3.7,52.33,1.97
1981-05-25,28.45,36.45,21.42,2.35,42.01,2.1
1981-05-26,29.4,38.2,20.71,0.17,28.75,2.43
1981-05-27,27.57,34.92,22.44,7.93,41.85,2.28
1981-05-28,24.95,28.87,22.5,12.24,63.34,1.35
1981-05-29,24.5,28.6,21.37,9.85,64.55,2.11
1981-05-30,25.65,30.94,21.81,9.41,57.05,1.84
1981-05-31,26.49,33.48,20.4,1.32,47.08,2.33
1981-06-01,27.75,36.29,21.19,1.8,37.79,2.11
1981-06-02,26.94,33.73,22.33,2.65,41.79,1.68
1981-06-03,28.05,35.38,23.22,3.51,42.07,1.42
1981-06-04,27.83,35.09,23.07,2.19,43.95,1.5
1981-06-05,27.36,34.09,21.92,0.09,48.79,1.8
1981-06-06,27.34,34.25,22.34,0.0,54.23,1.86
1981-06-07,26.67,32.77,22.31,0.0,54.66,1.87
1981-06-08,26.63,33.68,20.22,0.0,47.65,2.29
1981-06-09,27.51,34.16,22.53,0.0,45.85,1.89
1981-06-10,28.03,34.41,23.79,7.79,52.52,1.48
1981-06-11,27.84,33.38,24.22,9.05,55.14,1.6
1981-06-12,28.02,34.84,23.55,3.4,48.77,1.82
1981-06-13,28.09,35.52,21.53,2.71,41.11,2.2
1981-06-14,28.23,36.02,22.56,3.49,39.53,1.61
1981-06-15,27.45,33.03,23.2,0.0,48.21,1.84
1981-06-16,27.65,34.36,23.48,0.0,46.09,1.88
1981-06-17,28.16,36.26,22.71,0.0,37.59,1.76
1981-06-18,28.8,36.38,22.4,0.0,37.07,2.1
1981-06-19,29.15,36.32,22.33,0.0,38.04,2.0
1981-06-20,28.78,35.72,22.03,0.66,43.4,2.14
1981-06-21,28.45,34.48,23.87,1.05,46.78,1.97
1981-06-22,28.98,36.15,23.58,1.88,43.94,1.77
1981-06-23,29.25,36.64,22.77,0.91,38.18,1.35
1981-06-24,29.86,37.01,24.21,0.0,34.26,1.59
1981-06-25,27.97,34.52,23.0,0.0,42.49,2.06
1981-06-26,28.67,35.87,23.49,0.0,41.96,1.94
1981-06-27,28.91,35.87,22.86,0.0,42.22,1.82
1981-06-28,27.97,31.14,25.46,0.0,45.98,1.62
1981-06-29,28.43,34.12,23.03,0.0,40.45,2.13
1981-06-30,27.76,33.87,21.97,0.2,40.66,1.98
1981-07-01,28.48,35.26,23.24,0.37,42.26,1.74
1981-07-02,27.25,31.25,23.36,0.64,44.89,1.56
1981-07-03,27.94,34.02,22.11,0.17,46.03,1.72
1981-07-04,28.06,34.9,21.85,0.19,46.21,1.93
1981-07-05,28.25,34.97,22.86,0.56,47.07,2.72
1981-07-06,27.28,32.3,23.76,0.5,48.58,3.35
1981-07-07,27.21,31.05,24.09,0.42,49.75,3.17
1981-07-08,27.58,32.44,22.82,0.72,47.85,3.36
1981-07-09,26.75,32.65,22.92,0.57,55.99,6.01
1981-07-10,26.13,32.15,23.06,0.03,55.24,4.35
1981-07-11,26.79,33.23,22.42,0.0,48.04,3.24
1981-07-12,27.2,33.8,21.75,0.0,47.72,3.25
1981-07-13,28.59,36.28,22.37,0.0,40.04,3.32
1981-07-14,28.35,34.25,22.82,0.0,38.82,2.11
1981-07-15,27.78,33.7,23.07,0.0,36.04,1.64
1981-07-16,26.76,31.33,22.47,0.0,43.93,1.68
1981-07-17,28.06,33.78,23.19,0.0,42.16,1.69
1981-07-18,27.92,34.79,22.42,0.0,49.78,1.93
1981-07-19,26.63,30.9,23.33,0.0,56.29,2.64
1981-07-20,27.79,33.64,22.92,0.0,48.78,3.14
1981-07-21,28.92,35.55,23.04,0.0,43.81,2.24
1981-07-22,28.54,34.37,24.62,0.0,41.6,2.04
1981-07-23,28.52,34.3,23.15,0.0,39.21,2.92
1981-07-24,28.84,35.82,22.06,0.0,39.78,3.85
1981-07-25,26.62,31.74,22.48,47.45,56.75,5.04
1981-07-26,25.56,29.8,22.14,32.63,59.19,4.88
1981-07-27,24.99,29.83,21.52,14.7,59.0,3.59
1981-07-28,26.1,33.92,19.84,12.45,59.26,2.89
1981-07-29,25.8,31.64,22.21,33.92,63.31,2.64
1981-07-30,25.63,31.08,22.25,6.1,62.69,2.18
1981-07-31,25.23,30.75,20.81,0.36,61.44,3.8
1981-08-01,25.79,32.64,20.75,0.75,61.61,3.63
1981-08-02,26.65,33.32,22.05,0.69,55.4,3.27
1981-08-03,25.75,30.86,22.57,0.44,62.71,2.14
1981-08-04,26.25,31.96,22.36,0.01,59.61,2.16
1981-08-05,26.77,33.54,21.06,0.0,56.25,2.31
1981-08-06,25.21,28.87,21.62,0.0,68.15,1.72
1981-08-07,25.07,29.59,21.57,0.0,69.0,1.3
1981-08-08,25.78,31.79,21.48,0.0,64.9,3.18
1981-08-09,26.99,34.64,20.57,0.0,58.02,4.66
1981-08-10,28.54,36.8,21.93,0.0,49.21,2.72
1981-08-11,27.82,35.52,21.71,0.0,46.74,2.31
1981-08-12,27.2,34.61,21.72,0.0,50.8,2.68
1981-08-13,26.86,33.46,22.75,0.0,50.57,1.66
1981-08-14,27.59,34.58,22.37,1.88,52.96,2.38
1981-08-15,27.23,34.24,22.27,4.45,56.71,2.41
1981-08-16,25.6,30.62,22.19,3.39,56.49,2.17
1981-08-17,24.81,27.74,21.77,2.8,60.07,1.35
1981-08-18,26.76,32.76,22.02,2.35,53.41,1.8
1981-08-19,26.51,33.32,21.49,2.42,54.52,2.69
1981-08-20,26.84,33.46,21.62,3.11,55.36,2.78
1981-08-21,25.7,31.88,21.68,4.16,62.9,3.47
1981-08-22,26.04,33.75,20.75,3.51,58.54,2.16
1981-08-23,26.51,32.42,21.85,2.83,54.06,2.35
1981-08-24,26.7,31.68,22.66,0.32,53.44,1.72
1981-08-25,27.7,35.2,21.35,0.72,45.1,2.09
1981-08-26,27.71,35.48,21.38,0.49,44.59,2.23
1981-08-27,26.21,31.39,21.72,0.45,52.62,1.93
1981-08-28,26.54,33.19,22.04,0.22,48.66,1.87
1981-08-29,27.02,34.25,21.41,1.3,47.9,2.0
1981-08-30,25.84,31.36,22.05,6.03,59.08,2.0
1981-08-31,26.3,32.67,21.9,2.78,55.04,1.89
1981-09-01,25.98,33.3,20.6,1.51,56.73,1.99
1981-09-02,26.98,35.06,20.59,3.67,50.73,1.86
1981-09-03,26.56,33.76,20.77,0.07,46.86,2.15
1981-09-04,26.78,33.63,21.51,0.0,43.98,2.08
1981-09-05,26.59,34.17,21.88,0.0,46.27,1.97
1981-09-06,26.81,34.08,20.61,0.0,45.41,2.14
1981-09-07,26.17,33.53,19.73,0.0,39.78,2.03
1981-09-08,25.41,32.33,20.24,0.0,48.13,2.13
1981-09-09,26.78,33.9,22.37,0.0,51.7,1.64
1981-09-10,26.39,32.15,21.31,0.0,53.72,1.85
1981-09-11,26.45,34.09,20.97,0.0,50.99,1.81
1981-09-12,25.74,33.0,21.04,0.0,54.34,1.93
1981-09-13,25.61,32.94,20.7,0.0,59.93,1.77
1981-09-14,25.87,33.49,20.07,0.0,53.69,1.85
1981-09-15,26.26,33.5,21.06,0.0,52.9,2.09
1981-09-16,26.61,34.31,20.18,0.0,46.44,2.14
1981-09-17,26.3,33.01,21.04,0.0,47.86,1.86
1981-09-18,25.5,30.14,22.36,7.82,57.06,1.32
1981-09-19,24.21,29.84,20.37,5.66,63.37,1.76
1981-09-20,25.83,33.94,19.43,5.15,52.58,1.81
1981-09-21,26.79,35.22,20.24,5.18,50.29,1.86
1981-09-22,26.57,34.23,20.19,2.99,48.39,1.88
1981-09-23,27.16,34.81,20.67,0.93,44.77,1.94
1981-09-24,27.38,35.28,21.08,0.36,43.76,1.8
1981-09-25,26.36,33.22,21.89,0.44,48.57,1.81
1981-09-26,25.91,32.35,21.24,0.43,50.75,1.65
1981-09-27,26.8,35.53,19.92,0.36,43.89,2.3
1981-09-28,26.69,35.09,18.84,0.67,36.94,2.04
1981-09-29,26.27,33.35,20.25,0.56,42.15,2.11
1981-09-30,25.69,32.07,21.11,2.87,52.11,1.67
1981-10-01,25.15,31.91,20.44,1.03,53.9,1.97
1981-10-02,24.41,32.01,18.77,2.19,51.3,2.47
1981-10-03,23.65,30.63,18.3,0.28,57.46,2.54
1981-10-04,22.71,27.88,18.55,0.02,64.64,2.05
1981-10-05,23.72,32.25,16.54,0.06,47.3,2.23
1981-10-06,24.22,31.98,18.92,0.31,50.85,2.03
1981-10-07,23.45,30.11,18.34,0.08,60.43,2.43
1981-10-08,22.42,30.95,16.77,0.0,53.25,2.79
1981-10-09,22.07,31.43,15.12,0.0,46.18,3.33
1981-10-10,21.86,31.35,14.69,0.0,40.4,3.28
1981-10-11,22.75,31.52,16.59,0.0,35.93,2.15
1981-10-12,22.57,30.74,17.06,1.18,40.39,2.53
1981-10-13,22.11,30.43,16.16,0.0,49.22,2.65
1981-10-14,22.7,30.75,16.54,0.0,58.69,2.5
1981-10-15,22.73,29.76,17.11,0.0,64.72,2.4
1981-10-16,23.27,30.95,18.02,0.0,61.9,2.39
1981-10-17,23.09,30.73,17.59,0.0,56.41,2.25
1981-10-18,23.12,31.13,17.41,0.0,48.43,2.44
1981-10-19,22.84,30.62,17.03,0.0,45.35,2.75
1981-10-20,22.84,30.8,17.24,0.0,43.67,2.31
1981-10-21,23.05,31.9,16.45,0.0,41.49,2.12
1981-10-22,22.13,31.61,15.09,0.0,42.07,2.09
1981-10-23,21.79,30.77,14.84,0.0,42.79,2.22
1981-10-24,21.48,30.54,15.06,0.0,42.92,2.74
1981-10-25,20.9,29.11,14.38,0.0,57.19,3.16
1981-10-26,20.75,29.27,15.0,0.0,61.62,3.15
1981-10-27,20.86,30.2,13.38,0.0,45.77,2.78
1981-10-28,21.31,30.94,13.55,0.0,37.28,2.45
1981-10-29,21.64,31.05,14.36,0.0,38.8,2.41
1981-10-30,21.56,30.95,14.5,0.0,40.6,2.58
1981-10-31,21.73,31.39,14.47,0.0,35.21,2.27
1981-11-01,21.36,30.81,14.55,0.0,36.26,2.5
1981-11-02,21.08,30.79,14.17,0.0,33.89,2.84
1981-11-03,21.17,30.27,15.15,0.0,34.78,2.76
1981-11-04,21.59,30.13,16.07,0.0,36.3,2.48
1981-11-05,22.23,30.72,16.98,0.0,45.35,2.1
1981-11-06,22.21,31.03,16.3,0.0,46.9,2.28
1981-11-07,21.08,31.21,13.45,0.0,42.38,2.47
1981-11-08,20.83,31.22,12.63,0.0,38.25,2.84
1981-11-09,21.39,30.82,14.09,0.0,43.64,2.81
1981-11-10,22.03,31.6,14.95,0.0,40.35,2.18
1981-11-11,22.06,31.46,14.95,0.0,32.15,2.37
1981-11-12,22.03,31.08,15.26,0.0,36.17,2.46
1981-11-13,21.24,30.11,15.08,0.0,44.74,2.75
1981-11-14,20.69,29.07,14.31,0.0,54.92,2.73
1981-11-15,20.5,28.88,14.29,0.0,63.69,3.16
1981-11-16,20.66,29.47,14.07,0.0,58.68,2.58
1981-11-17,20.53,30.15,12.87,0.0,51.66,2.47
1981-11-18,20.02,28.97,12.84,0.0,52.14,2.79
1981-11-19,19.78,28.61,12.78,0.0,55.95,2.9
1981-11-20,19.75,28.06,12.96,0.0,60.0,2.45
1981-11-21,20.28,28.6,14.3,0.0,63.32,2.41
1981-11-22,20.8,28.79,15.09,0.0,62.54,2.17
1981-11-23,21.01,28.39,16.92,0.0,65.79,2.17
1981-11-24,20.81,29.0,14.87,0.0,59.73,2.62
1981-11-25,20.17,28.11,14.49,0.0,65.78,3.19
1981-11-26,19.54,28.26,13.7,0.0,60.2,2.99
1981-11-27,19.34,28.74,12.49,0.0,53.94,2.96
1981-11-28,19.11,27.94,12.16,0.0,57.8,2.96
1981-11-29,19.84,29.1,13.39,0.0,60.12,2.67
1981-11-30,19.61,28.28,12.38,0.0,57.94,2.82
1981-12-01,20.03,28.8,13.57,0.0,60.35,3.11
1981-12-02,19.24,28.81,12.07,0.04,46.45,2.63
1981-12-03,18.77,28.17,11.13,0.0,44.18,2.4
1981-12-04,18.89,27.38,12.21,0.07,51.23,2.49
1981-12-05,18.96,27.79,12.29,0.02,51.19,2.76
1981-12-06,19.13,28.33,12.47,0.23,47.62,2.8
1981-12-07,19.18,27.95,12.74,0.01,56.46,2.54
1981-12-08,19.12,28.59,11.34,0.0,47.23,2.31
1981-12-09,18.58,27.88,11.31,0.0,42.32,2.49
1981-12-10,17.85,26.29,11.09,0.0,53.75,3.1
1981-12-11,17.65,26.37,11.02,0.0,56.06,3.52
1981-12-12,17.48,26.76,10.29,0.0,51.79,3.57
1981-12-13,17.72,26.26,9.96,0.02,53.14,3.14
1981-12-14,19.01,27.07,13.13,0.05,69.11,2.61
1981-12-15,19.11,26.69,13.37,0.05,67.31,2.35
1981-12-16,18.84,26.83,13.39,0.03,69.22,2.92
1981-12-17,19.6,27.87,13.59,0.0,69.35,2.64
1981-12-18,19.47,27.01,14.06,0.0,68.16,2.58
1981-12-19,19.25,26.21,14.34,0.0,66.18,2.93
1981-12-20,18.95,26.64,13.73,0.0,64.87,3.51
1981-12-21,18.63,27.08,12.29,0.0,60.69,3.54
1981-12-22,18.3,26.41,12.75,0.06,62.2,4.06
1981-12-23,18.22,26.45,11.92,0.03,60.39,3.84
1981-12-24,18.24,26.51,11.86,0.0,62.81,3.46
1981-12-25,19.58,27.8,12.96,0.0,65.73,2.45
1981-12-26,20.01,27.84,14.82,0.05,64.5,2.26
1981-12-27,19.67,27.54,13.82,0.04,65.16,2.89
1981-12-28,19.39,26.77,14.07,0.05,69.29,2.88
1981-12-29,19.52,27.34,14.32,0.07,57.44,2.22
1981-12-30,20.44,28.25,14.63,0.01,55.84,2.05
1981-12-31,20.13,27.34,14.47,0.02,65.42,2.28
1982-01-01,19.53,26.32,15.0,0.0,70.06,3.04
1982-01-02,19.24,26.37,14.05,0.02,70.95,3.42
1982-01-03,19.06,24.88,15.73,1.0,71.31,3.42
1982-01-04,18.69,25.53,14.3,0.0,73.93,4.37
1982-01-05,18.18,25.21,13.57,0.0,70.64,3.8
1982-01-06,19.36,26.93,13.33,0.0,58.6,2.26
1982-01-07,19.4,26.22,15.59,3.44,70.56,2.09
1982-01-08,19.89,26.91,14.96,1.53,67.99,2.21
1982-01-09,20.19,26.86,15.41,0.25,68.82,2.34
1982-01-10,20.02,26.55,15.38,1.29,73.02,2.11
1982-01-11,19.51,25.03,16.04,12.1,80.42,1.96
1982-01-12,19.54,25.39,15.4,3.71,77.35,1.89
1982-01-13,18.46,23.95,15.42,13.09,82.46,2.43
1982-01-14,16.44,19.81,14.08,34.53,85.96,3.32
1982-01-15,16.52,20.99,12.76,23.67,83.72,3.27
1982-01-16,17.01,21.98,13.5,6.29,79.36,3.44
1982-01-17,18.87,24.41,14.03,6.98,73.57,1.83
1982-01-18,18.91,23.42,16.02,7.2,82.79,2.35
1982-01-19,18.73,24.58,13.92,4.4,79.56,2.56
1982-01-20,18.05,23.03,13.71,11.53,83.52,2.99
1982-01-21,17.51,23.5,12.69,0.65,79.98,3.93
1982-01-22,17.32,23.46,12.37,0.55,81.55,3.74
1982-01-23,17.94,23.91,13.48,2.43,81.03,3.0
1982-01-24,18.29,25.19,13.51,0.69,76.54,2.83
1982-01-25,17.87,24.37,12.98,0.08,76.51,3.43
1982-01-26,17.56,24.34,12.87,0.0,74.1,3.81
1982-01-27,16.95,23.91,11.6,0.0,71.05,3.66
1982-01-28,16.92,24.77,11.39,0.0,62.15,3.14
1982-01-29,19.01,26.78,12.31,0.0,60.19,2.0
1982-01-30,19.85,26.91,15.42,0.0,66.58,2.26
1982-01-31,19.57,26.06,15.44,0.0,67.15,2.31
1982-02-01,19.9,26.75,14.87,0.0,61.36,1.75
1982-02-02,20.4,27.18,15.87,0.0,63.09,1.87
1982-02-03,19.74,26.65,15.31,0.0,60.35,1.95
1982-02-04,19.57,26.44,14.61,0.0,60.18,1.88
1982-02-05,19.37,26.07,15.06,0.0,65.2,2.08
1982-02-06,19.26,26.71,14.77,0.4,65.86,2.31
1982-02-07,17.93,25.07,12.37,0.0,69.06,3.33
1982-02-08,18.52,25.91,11.48,0.0,57.59,2.49
1982-02-09,20.39,27.17,15.56,0.0,66.11,2.04
1982-02-10,19.59,25.39,15.35,2.84,77.09,2.3
1982-02-11,19.56,26.13,15.2,6.38,77.4,2.64
1982-02-12,19.1,24.74,14.83,2.2,77.66,3.32
1982-02-13,18.82,23.87,15.01,0.6,77.42,2.66
1982-02-14,20.23,26.44,15.32,0.38,66.99,1.81
1982-02-15,19.45,25.13,15.57,0.0,74.04,1.78
1982-02-16,20.24,25.97,15.46,0.0,75.36,1.98
1982-02-17,21.02,26.59,17.13,0.0,75.06,2.1
1982-02-18,20.43,26.65,17.05,0.0,79.01,2.52
1982-02-19,19.84,26.39,14.52,0.02,76.09,3.74
1982-02-20,19.74,26.19,14.44,0.0,75.77,4.31
1982-02-21,20.28,27.37,14.56,0.0,68.66,3.11
1982-02-22,20.16,27.29,15.29,0.0,70.65,3.23
1982-02-23,20.4,28.64,14.07,0.0,62.49,2.62
1982-02-24,21.53,28.8,15.74,0.0,56.22,2.21
1982-02-25,21.98,29.08,16.94,0.0,56.85,1.8
1982-02-26,22.21,28.5,17.61,0.0,64.43,2.13
1982-02-27,21.55,27.88,17.57,0.0,73.47,2.71
1982-02-28,21.25,27.73,16.19,0.0,74.14,3.89
1982-03-01,21.59,28.53,16.07,0.0,69.19,3.8
1982-03-02,21.64,28.97,15.95,0.4,68.83,3.01
1982-03-03,23.06,30.38,17.94,1.68,61.47,2.08
1982-03-04,21.79,27.68,18.12,6.88,76.32,2.18
1982-03-05,21.56,28.02,17.07,0.2,75.13,3.47
1982-03-06,20.31,27.61,14.27,0.11,66.99,3.2
1982-03-07,21.51,29.24,15.43,0.53,62.53,1.9
1982-03-08,21.17,26.92,16.46,0.76,69.28,2.51
1982-03-09,21.1,29.11,14.69,0.02,57.19,2.82
1982-03-10,21.33,29.4,14.61,0.01,56.8,2.61
1982-03-11,21.65,29.89,15.27,0.0,55.54,2.6
1982-03-12,21.03,28.73,14.24,0.0,61.43,3.09
1982-03-13,21.25,29.73,14.46,0.0,60.37,2.94
1982-03-14,22.1,30.89,14.62,0.0,54.51,2.44
1982-03-15,21.74,29.29,16.41,0.0,61.52,2.66
1982-03-16,20.79,29.06,14.54,0.0,55.8,3.32
1982-03-17,20.54,29.47,13.53,0.0,43.76,3.59
1982-03-18,20.72,30.32,12.27,0.0,33.4,2.97
1982-03-19,22.75,32.07,15.11,0.0,33.53,1.97
1982-03-20,23.15,30.44,17.82,0.0,49.0,2.11
1982-03-21,23.03,30.06,18.11,0.0,51.65,2.4
